Stock,cost
Stock 6,88.78555886989899
Stock 6,88.65308695153088
Stock 6,90.06257645076407
Stock 6,89.57229808152793
Stock 6,88.63452545056315
Stock 6,90.11324529457568
Stock 6,89.56521521402412
Stock 6,89.15570238843213
Stock 6,89.25819572513126
Stock 6,89.44893848017641
Stock 6,89.43063108539778
Stock 6,88.98864422218769
Stock 6,88.17612006786722
Stock 6,88.78746431941492
Stock 6,88.9383987514669
Stock 6,88.70452393518207
Stock 6,89.0399144356542
Stock 6,88.81267116979689
Stock 7,102.84405108532927
Stock 7,102.15042142985527
Stock 7,104.19541648954865
Stock 7,100.40676486349895
Stock 7,103.30218677241486
Stock 7,102.80116667085082
Stock 7,101.58312851923773
Stock 7,102.5848250662735
Stock 7,102.29949207184228
Stock 7,101.64520208842768
Stock 7,102.49370941673288
Stock 7,103.51073112568587
Stock 7,104.0534403587926
Stock 7,103.10925737425258
Stock 7,103.34107233021751
Stock 7,100.34545181077999
Stock 7,103.08724753515972
Stock 7,101.92960962100032
Stock 7,104.02426007157172
Stock 7,101.18499721874622
Stock 7,100.72099377994184
Stock 7,102.5747924631573
Stock 7,103.89930677939174
Stock 7,100.39443983605061
Stock 7,101.46579367218723
Stock 7,101.91831726928707
Stock 7,104.21009057007439
Stock 7,102.62094177090711
Stock 7,101.54018307235896
Stock 7,103.98153269924954
Stock 7,101.51840764947599
Stock 7,104.62860051321712
Stock 7,101.93696265296127
Stock 7,101.5233260275885
Stock 7,101.96566333430513
Stock 7,103.02419511629347
Stock 7,101.99288200817595
Stock 7,103.26318547013688
Stock 7,102.51926096372648
Stock 7,103.33874342072134
Stock 7,100.25578031761363
Stock 7,100.94959908406545
Stock 7,102.82144883998535
Stock 7,100.52670048561441
Stock 7,103.05665064843333
Stock 7,102.49667185353056
Stock 7,102.60369290323771
Stock 7,102.96553833805949
Stock 7,100.94370438334921
Stock 7,100.85214323023743
Stock 8,101.49746786109671
Stock 8,100.49032451619684
Stock 8,100.7574751326421
Stock 8,99.41989686311277
Stock 8,99.96874968947168
Stock 8,100.60042142614586
Stock 8,99.1701192954195
Stock 8,100.57598664726324
Stock 8,100.66682523486368
Stock 8,100.42664020160983
Stock 8,100.52743954395069
Stock 8,100.24566861080005
Stock 8,100.21757914098316
Stock 8,100.61269008383026
Stock 8,99.95087079509523
Stock 8,100.7886803614209
Stock 8,100.19353848818933
Stock 8,100.72166911488088
Stock 8,99.51635019137505
Stock 8,100.26065070923704
Stock 8,99.44040390397517
Stock 8,100.81407124972604
Stock 8,100.25170462735632
Stock 8,100.45859083503403
Stock 8,100.51956281888721
Stock 8,100.04975959049443
Stock 8,100.71893604599951
Stock 8,100.44461015885845
Stock 8,100.07612980395358
Stock 8,99.9966903393694
Stock 8,99.96985371834035
Stock 8,100.74318263355197
Stock 8,100.20153945037836
Stock 8,100.85796256395594
Stock 8,99.48713763322058
Stock 8,103.26377459574115
Stock 8,99.59254749653181
Stock 8,100.0249842526246
Stock 8,100.21818405714639
Stock 8,101.2262084002469
Stock 8,99.97039769910457
Stock 8,99.6226319624322
Stock 8,99.11262362747186
Stock 8,100.44196714516285
Stock 8,101.06299144984118
Stock 8,99.81742645088289
Stock 8,99.59156355439063
Stock 8,99.05662092867728
Stock 8,100.20272947243497
Stock 8,99.76075692925939
Stock 9,103.00116803596445
Stock 9,102.11089895064822
Stock 9,103.07561730281162
Stock 9,104.41382128908624
Stock 9,103.32698276473975
Stock 9,101.42057518861193
Stock 9,105.04125106079805
Stock 9,103.25157595845829
Stock 9,102.63953716441237
Stock 9,103.14584883178475
Stock 9,102.93104332994828
Stock 9,102.79132793342738
Stock 9,103.53991414135389
Stock 9,101.06340675077354
Stock 9,101.94891503784456
Stock 9,101.65289973904562
Stock 9,103.3626092379248
Stock 9,101.84080746649477
Stock 9,101.4099470946462
Stock 9,102.61790352568416
Stock 9,103.34570384239602
Stock 9,101.81079888079447
Stock 9,102.64499133344408
Stock 9,102.38217617164588
Stock 9,102.96856139958028
Stock 9,103.45832186590751
Stock 9,103.85521703892697
Stock 9,101.14454465478198
Stock 9,101.69544941493656
Stock 9,103.39409429110012
Stock 9,101.90447110334856
Stock 9,102.97719911924936
Stock 9,103.3451122797462
Stock 9,102.22649366462247
Stock 9,103.03915352181193
Stock 9,101.8113157446091
Stock 9,103.47907455600266
Stock 9,102.96594213361244
Stock 9,101.55354356674745
Stock 9,102.69311246274563
Stock 9,104.28496931040087
Stock 9,102.52045875380134
Stock 9,103.26742453883757
Stock 9,104.04733333219532
Stock 9,102.6372031091582
Stock 9,101.86994849048614
Stock 9,102.20340934768468
Stock 9,103.07392772604739
Stock 9,103.58107985240396
Stock 9,104.24489383618182
Stock 10,88.7794720294
Stock 10,88.72400425094385
Stock 10,88.70279939425069
Stock 10,89.34275745886238
Stock 10,88.16134870737481
Stock 10,88.8688575582642
Stock 10,88.558469624772
Stock 10,88.73293317641273
Stock 10,88.84965120204475
Stock 10,89.44102816825612
Stock 10,88.43722663946971
Stock 10,88.54954524893964
Stock 10,89.35845913032344
Stock 10,88.76940238806915
Stock 10,88.58126010197802
Stock 10,88.43442728522841
Stock 10,89.66909782299385
Stock 10,89.24533195692966
Stock 10,89.30399005522894
Stock 10,88.62107326489759
Stock 10,88.65329872073802
Stock 10,88.38376390957967
Stock 10,88.2665000613045
Stock 10,89.3581838936298
Stock 10,88.5705595922589
Stock 10,89.45575251462982
Stock 10,88.43993075126679
Stock 10,88.74322246694781
Stock 10,88.91920592586119
Stock 10,89.78401415163913
Stock 10,88.60477373413012
Stock 10,88.95210423703139
Stock 10,88.70820585907016
Stock 10,88.61105017365786
Stock 10,89.65708747529892
Stock 10,89.50515043026755
Stock 10,89.43143341028257
Stock 10,89.86003342761482
Stock 10,89.5305003570976
Stock 10,88.38550079056294
Stock 10,88.41250510732277
Stock 10,88.34507607487764
Stock 10,88.31138459141084
Stock 10,88.37594351579973
Stock 10,89.3618815471459
Stock 10,89.85743780694249
Stock 10,89.3275492564703
Stock 10,88.3347875375387
Stock 10,89.51490538307371
Stock 10,88.46824342663025
Stock 11,103.62167289287919
Stock 11,104.81063801152624
Stock 11,103.39228000549143
Stock 11,102.87026767442194
Stock 11,102.84556434974294
Stock 11,103.3855107939823
Stock 11,105.06726851268677
Stock 11,104.03400306551525
Stock 11,103.58620321244385
Stock 11,105.22294938465674
Stock 11,104.02056727659966
Stock 11,104.3207349498438
Stock 11,102.05677314318065
Stock 11,104.62686411707216
Stock 11,102.93015984674119
Stock 11,102.1988136355155
Stock 11,104.23323480549644
Stock 11,102.3932940302835
Stock 11,103.71403485251817
Stock 11,102.12319432373553
Stock 11,103.99192158017631
Stock 11,104.66602450454529
Stock 11,103.69191881271004
Stock 11,103.9262371111739
Stock 11,104.43611410429858
Stock 11,103.08391122468014
Stock 11,104.3945546649177
Stock 11,104.17635993397775
Stock 11,106.13168626673942
Stock 11,104.06302943758016
Stock 11,102.91262035225114
Stock 11,102.73078160012128
Stock 11,103.65333209364734
Stock 11,102.30116198926376
Stock 11,102.97060637442634
Stock 11,104.00313034023306
Stock 11,102.26589907609191
Stock 11,104.31008173513436
Stock 11,102.368452626012
Stock 11,103.01805455098751
Stock 11,104.54013650146213
Stock 11,103.29327781825664
Stock 11,104.2035611775743
Stock 11,102.18530476722088
Stock 11,105.34207665253228
Stock 11,102.64722268116904
Stock 11,105.27023275879213
Stock 11,104.34750813749939
Stock 11,102.96439042034497
Stock 11,103.34719084282754
Stock 12,98.36333910932088
Stock 12,98.06223177037437
Stock 12,97.69563077668516
Stock 12,98.14264701908725
Stock 12,98.63037175512324
Stock 12,98.30558605457219
Stock 12,98.49422971484645
Stock 12,99.30007432948233
Stock 12,98.73993358858519
Stock 12,99.02964024507041
Stock 12,99.05638727104808
Stock 12,99.29333126093347
Stock 12,98.39280020681429
Stock 12,98.0595026600713
Stock 12,98.93186525636908
Stock 12,98.9994546761987
Stock 12,98.69292861382146
Stock 12,98.07778106007117
Stock 12,98.80663878865404
Stock 12,99.3177539070524
Stock 12,98.64488344603822
Stock 12,97.84089787230518
Stock 12,98.43374636821247
Stock 12,98.82288754774824
Stock 12,98.52327958119916
Stock 12,97.58781781010572
Stock 12,97.71122749045422
Stock 12,97.82401150798222
Stock 12,98.54425293103822
Stock 12,98.3373317468361
Stock 12,98.63360178151807
Stock 12,98.51394636866021
Stock 12,97.81956514547062
Stock 12,98.95844637702422
Stock 12,98.10697421515292
Stock 12,98.53651710741607
Stock 12,98.32420512816263
Stock 12,98.2663957029778
Stock 12,98.82950691423213
Stock 12,99.15681216189614
Stock 12,98.47650461255799
Stock 12,99.17933602899964
Stock 12,99.11412357444651
Stock 12,98.67173991251552
Stock 12,98.39478533274983
Stock 12,98.98080189424346
Stock 12,98.26506898512889
Stock 12,98.62152299950436
Stock 12,98.87006913728932
Stock 12,98.65796374761935
Stock 13,107.76991340218314
Stock 13,108.04046360940004
Stock 13,108.16701635195648
Stock 13,107.8775913308125
Stock 13,108.1070568071827
Stock 13,107.6220466175495
Stock 13,107.6320640864074
Stock 13,107.81900816390257
Stock 13,107.63814879602283
Stock 13,107.81600241991053
Stock 13,107.81089936477281
Stock 13,107.72450800608308
Stock 13,108.28828137487531
Stock 13,107.68959567387402
Stock 13,108.1364225853601
Stock 13,108.31549076953459
Stock 13,107.61257037116722
Stock 13,107.54149814250773
Stock 13,107.97115238583164
Stock 13,107.69257609017023
Stock 13,107.70935901947604
Stock 13,107.62949132504515
Stock 13,107.99397895989782
Stock 13,107.85221117428513
Stock 13,108.00976835045027
Stock 13,108.0223811629826
Stock 13,108.19385455812795
Stock 13,107.47342197647532
Stock 13,107.85083172818338
Stock 13,108.0589212177836
Stock 13,107.85153689943792
Stock 13,107.62600343421454
Stock 13,107.54184567751298
Stock 13,107.8219293973658
Stock 13,107.62784151569649
Stock 13,107.83151846134744
Stock 13,107.96034165822742
Stock 13,107.62239687113812
Stock 13,107.36435710153431
Stock 13,108.16255298685343
Stock 13,107.50381344908034
Stock 13,107.49607660674104
Stock 13,107.77564406895668
Stock 13,107.52554097336832
Stock 13,108.06434185438516
Stock 13,107.83192230416488
Stock 13,107.84052357297476
Stock 13,107.6749593089522
Stock 13,107.86191116750499
Stock 13,108.04941283454136
Stock 14,87.30728382825157
Stock 14,87.69582864155247
Stock 14,87.76118106051537
Stock 14,87.29654079069982
Stock 14,87.71846671201493
Stock 14,87.16717592965271
Stock 14,87.72465720453675
Stock 14,88.29436822135148
Stock 14,87.68499147672217
Stock 14,87.48069485791852
Stock 14,87.19690135595792
Stock 14,88.0515832970372
Stock 14,88.30416461645532
Stock 14,87.01860447010125
Stock 14,88.10479769335123
Stock 14,87.21625330376379
Stock 14,87.88286105329132
Stock 14,87.7538595224804
Stock 14,88.37158864664961
Stock 14,87.50772592267889
Stock 14,87.2561451450664
Stock 14,87.14988660194778
Stock 14,87.65225505407955
Stock 14,87.12213075207534
Stock 14,87.91297484888246
Stock 14,87.49712019938066
Stock 14,87.59811360429335
Stock 14,88.04999581274244
Stock 14,88.00317300411739
Stock 14,87.77952602054842
Stock 14,87.89570153090155
Stock 14,87.66334202289629
Stock 14,88.00811996846498
Stock 14,87.76269993681159
Stock 14,87.06312623266683
Stock 14,87.76343938958658
Stock 14,87.79279441546124
Stock 14,87.26662531801509
Stock 14,88.33008162997423
Stock 14,87.81388094311413
Stock 14,88.12748995173288
Stock 14,86.86920731359676
Stock 14,87.60020328686527
Stock 14,88.04622422688495
Stock 14,87.40425647813255
Stock 14,87.55323422769408
Stock 14,87.7964694747964
Stock 14,87.96818445191192
Stock 14,87.09613525142078
Stock 14,87.26474789692324
Stock 15,105.57269802047642
Stock 15,105.92968011296485
Stock 15,104.17794020240868
Stock 15,106.862721396183
Stock 15,106.90688604201665
Stock 15,104.65507112633928
Stock 15,103.72611847080861
Stock 15,107.80005714359005
Stock 15,104.85782196306849
Stock 15,104.33986459925082
Stock 15,105.44932151182121
Stock 15,105.21343332690992
Stock 15,104.86830779452234
Stock 15,102.75925977676583
Stock 15,105.79882612290159
Stock 15,104.70453979883729
Stock 15,104.23447263998061
Stock 15,105.2303013013167
Stock 15,104.4665196987717
Stock 15,105.25359035816616
Stock 15,107.46535229477178
Stock 15,106.31628122412332
Stock 15,106.84181681520758
Stock 15,104.29710422523416
Stock 15,104.30829569886296
Stock 15,105.5539520540249
Stock 15,104.657790651637
Stock 15,104.43451915434473
Stock 15,103.75007289376008
Stock 15,104.00791546987337
Stock 15,105.06035398855134
Stock 15,104.28476274023615
Stock 15,107.65799127949776
Stock 15,104.37327557278388
Stock 15,105.57928882823971
Stock 15,104.47784756508666
Stock 15,104.3893811195603
Stock 15,103.738929885819
Stock 15,104.93451379834785
Stock 15,104.8593509293261
Stock 15,103.52328957888096
Stock 15,105.93506774200003
Stock 15,102.96335695649177
Stock 15,104.23452936112778
Stock 15,102.79329476340645
Stock 15,106.2549444706583
Stock 15,105.24318374693031
Stock 15,103.99765966488589
Stock 15,104.09378408573419
Stock 15,105.03053089074074
Stock 16,101.31052563191787
Stock 16,101.6167012876395
Stock 16,101.51305290927418
Stock 16,101.81488107593752
Stock 16,101.49532924866865
Stock 16,101.79903808674712
Stock 16,101.96269551872449
Stock 16,101.71850897109745
Stock 16,101.66797847067073
Stock 16,101.49385625600304
Stock 16,101.91160839175829
Stock 16,101.89902558085703
Stock 16,101.99540457073036
Stock 16,101.69233110388072
Stock 16,101.852807240097
Stock 16,101.82789584475852
Stock 16,101.69647569939566
Stock 16,101.53827779455618
Stock 16,101.70632107498577
Stock 16,101.69740443155173
Stock 16,101.80146955526905
Stock 16,101.70370014092241
Stock 16,101.76651879897865
Stock 16,101.7922841913448
Stock 16,101.72063451630858
Stock 16,101.80734840269014
Stock 16,101.82640232508791
Stock 16,101.60125396735268
Stock 16,101.76664420371746
Stock 16,101.8162025016185
Stock 16,101.79906301786204
Stock 16,101.74116848694058
Stock 16,101.79902208637988
Stock 16,101.69026187279157
Stock 16,101.51142415564792
Stock 16,101.9003009037648
Stock 16,101.87309356940449
Stock 16,101.45063624353935
Stock 16,101.7430229148724
Stock 16,101.77917660920633
Stock 16,101.82713202797446
Stock 16,101.57010081200478
Stock 16,101.83939399836851
Stock 16,101.77570958160042
Stock 16,101.85519968804324
Stock 16,101.58553458599077
Stock 16,101.7105774683353
Stock 16,101.73257236015081
Stock 16,101.62376215229659
Stock 16,101.6354307048655
Stock 17,72.2623281234717
Stock 17,72.42597265581502
Stock 17,72.58267246478349
Stock 17,72.399337969541
Stock 17,72.33350811776286
Stock 17,72.3804294556666
Stock 17,72.68493075648513
Stock 17,72.22432086158256
Stock 17,72.53469570645613
Stock 17,72.4455592625664
Stock 17,72.73554747208192
Stock 17,72.7216058656582
Stock 17,72.48862428520934
Stock 17,72.61614810179111
Stock 17,72.43314990191183
Stock 17,72.37035113622032
Stock 17,72.30484620310104
Stock 17,72.35943755859569
Stock 17,72.3300288267009
Stock 17,72.4962933985057
Stock 17,72.41663935295598
Stock 17,72.72768029362189
Stock 17,72.26707912368666
Stock 17,72.250708443955
Stock 17,72.32853258718659
Stock 17,72.34940604116824
Stock 17,72.34904540202773
Stock 17,72.42914666043033
Stock 17,72.4259831533424
Stock 17,72.59733632751677
Stock 17,72.59055763848146
Stock 17,72.47289735757764
Stock 17,72.20974833293522
Stock 17,72.42006691603493
Stock 17,72.32602200441775
Stock 17,72.35672238517778
Stock 17,72.53333421679397
Stock 17,72.34417893228394
Stock 17,72.38978218864743
Stock 17,72.33529246098327
Stock 17,72.3632162191731
Stock 17,72.34901784172382
Stock 17,72.31320412699147
Stock 17,72.3241731918389
Stock 17,72.28621243413991
Stock 17,72.46424233191067
Stock 17,72.44459652344698
Stock 17,72.29708761233991
Stock 17,72.73621373991519
Stock 17,72.54275342079507
Stock 18,91.8936484498461
Stock 18,92.20581944510455
Stock 18,91.91526952397848
Stock 18,92.07319969752643
Stock 18,92.02314504700111
Stock 18,91.84303851313301
Stock 18,91.82898387080837
Stock 18,91.89959446708181
Stock 18,91.91708543517174
Stock 18,91.76139131109866
Stock 18,91.77753229787831
Stock 18,92.14861994625184
Stock 18,92.2451893702883
Stock 18,91.36844484534402
Stock 18,92.08305844249624
Stock 18,92.07229215652086
Stock 18,92.01112730342757
Stock 18,91.85032271128406
Stock 18,91.94434404775694
Stock 18,91.97508271781575
Stock 18,92.07563582972955
Stock 18,91.7845164729187
Stock 18,92.30410702719765
Stock 18,92.3154512771113
Stock 18,91.9458633704317
Stock 18,91.86887132009497
Stock 18,92.20791396228387
Stock 18,92.09601193486486
Stock 18,91.65069382857045
Stock 18,91.59925186331031
Stock 18,91.87677704629087
Stock 18,91.60420149952634
Stock 18,92.31935902550242
Stock 18,91.86606462615178
Stock 18,92.07784897890433
Stock 18,91.88333307946621
Stock 18,91.61240379502645
Stock 18,91.86552263004764
Stock 18,92.26149456507302
Stock 18,91.54126496314905
Stock 18,92.02426729493665
Stock 18,91.22720658520187
Stock 18,92.03880120938908
Stock 18,91.31436328427131
Stock 18,91.98198214433698
Stock 18,91.59261498459347
Stock 18,91.84126822519652
Stock 18,92.16589090044258
Stock 18,92.40298106233863
Stock 18,92.17296643929738
Stock 19,81.37436631368678
Stock 19,80.99202476516639
Stock 19,81.1506532510486
Stock 19,80.95357759087258
Stock 19,81.24332013516532
Stock 19,81.56018486109221
Stock 19,81.07821443609033
Stock 19,81.45436949295703
Stock 19,81.25260540824334
Stock 19,80.95085840941307
Stock 19,81.28345129734842
Stock 19,81.1521458526383
Stock 19,81.41851873507159
Stock 19,81.20359145388875
Stock 19,80.94395255838015
Stock 19,81.38712652289618
Stock 19,81.07035606955787
Stock 19,81.45225978889631
Stock 19,81.00889659884405
Stock 19,80.87429263946149
Stock 19,81.49303000930782
Stock 19,81.48734686957602
Stock 19,81.05736609273879
Stock 19,81.03213883452919
Stock 19,81.03045517233268
Stock 19,81.15427097646734
Stock 19,80.8390618693786
Stock 19,81.10441585046603
Stock 19,81.30157677960409
Stock 19,81.17345913158924
Stock 19,81.53575347455683
Stock 19,81.47849982049405
Stock 19,80.91707346660606
Stock 19,81.17953611906786
Stock 19,80.82042839113184
Stock 19,80.90791876971169
Stock 19,81.43383635477008
Stock 19,80.9793346576756
Stock 19,81.01023898727402
Stock 19,81.44033831692025
Stock 19,81.35460882940033
Stock 19,81.51012610413115
Stock 19,80.93174956945299
Stock 19,81.13934926438043
Stock 19,81.13855022189954
Stock 19,81.41954242917318
Stock 19,81.36999372380022
Stock 19,81.46011973510656
Stock 19,80.8011814120716
Stock 19,81.51061649558552
Stock 20,127.8753131362894
Stock 20,128.9291998843918
Stock 20,128.02724641459633
Stock 20,127.91377042542972
Stock 20,129.43614080569373
Stock 20,129.04711581674394
Stock 20,127.86600292915547
Stock 20,128.0658651471541
Stock 20,128.8582936103178
Stock 20,129.3912120376508
Stock 20,127.79466093978081
Stock 20,128.12629349874751
Stock 20,129.29442254359958
Stock 20,128.03134113634178
Stock 20,128.39379686271423
Stock 20,128.14186729758154
Stock 20,128.66471200257828
Stock 20,129.20286479418326
Stock 20,129.05446022431087
Stock 20,128.05855535539425
Stock 20,128.0864788544361
Stock 20,128.00551143921365
Stock 20,128.33971318616258
Stock 20,127.97132992738831
Stock 20,128.2322057441327
Stock 20,127.86570344292208
Stock 20,129.15036138675296
Stock 20,129.01446719000745
Stock 20,128.71469761926343
Stock 20,128.5999486085223
Stock 20,128.85804422297213
Stock 20,128.99856673050732
Stock 20,127.97090015892992
Stock 20,128.10252020048617
Stock 20,129.17956932115885
Stock 20,129.23571590463507
Stock 20,128.48393616132188
Stock 20,129.11298914712484
Stock 20,127.9660981242939
Stock 20,129.34165566843075
Stock 20,127.81810732587361
Stock 20,129.07164645643326
Stock 20,127.82285585832004
Stock 20,127.77265490693735
Stock 20,128.92692874771063
Stock 20,128.02259916105172
Stock 20,129.31701617239185
Stock 20,127.75248156927454
Stock 20,128.28117405350645
Stock 20,129.0690933849966
